genome,group
Staph.bead.12,2
Sta.aur.bead.20,2
Sta.aur.bead.57,2
Staph.bead.11,2
Staph.beads.473,2
Staph.beads.371,2
Staph.beads.330,2
Staph.beads.530,2
Staph.bead.760a,2
Staph.bead.743a,2
Staph.beads.412,2
Staph.beads.405,2
Staph.beads.488,2
Staph.bead.179,2
Staph.bead.245,2
marc.bacteremia.284.a,2
Staph.bead.202,2
Staph.beads.401,2
Staph.beads.693,3
Staph.beads.666,3
Staph.beads.442,3
Staph.beads.541,4
marc.bacteremia.253.a,4
marc.bacteremia.242.a,4
marc.bacteremia.258.a,4
Staph.bead.65,4
Staph.beads.979a,4
Staph.beads.695,4
Staph.beads.631,4
Staph.beads.704,4
Staph.bead.825a,4
Staph.beads.656,4
Staph.beads.640,4
Staph.beads.718,4
Staph.bead.756a,4
Staph.beads.611,4
Staph.beads.550,4
Staph.beads.567,4
Staph.beads.551,4
Staph.beads.555,4
Staph.beads.460,4
Staph.beads.990a,4
marc.bacteremia.1316.a,4
marc.bacteremia.857.a,4
marc.bacteremia.539.a,4
marc.bacteremia.550.a,4
marc.bacteremia.1207.a,4
marc.bacteremia.1208.a,4
Staph.beads.569,4
Staph.beads.505,4
Staph.beads.730,4
Staph.bead.755a,4
Staph.beads.597,4
marc.bacteremia.254.a,4
Path_Reg_65,4
Path_Reg_60,4
Sta.aur.bead.50,4
Staph.bead.53,4
Sta.aur.bead.17,4
Path_Reg_81,4
Staph.beads.293,4
Staph.beads.254,4
Staph.bead.790a,4
Staph.beads.996a,4
Sta.aur.bead.3,4
Sta.aur.bead.23,4
Path_Reg_33,4
Staph.beads.632,4
Staph.beads.595,4
Staph.beads.655,4
Sta.aur.bead.29,4
Sta.aur.bead.65,4
Staph.bead.811a,4
Staph.beads.712,4
marc.bacteremia.649.a,4
marc.bacteremia.639.a,4
Staph.beads.918a,4
marc.bacteremia.262.a,4
Path_Reg_58,4
Staph.beads.642,4
Staph.beads.566,4
Staph.bead.178,4
Staph.beads.438,4
Staph.beads.255,4
marc.bacteremia.1025.a,4
Staph.beads.717,4
Staph.bead.812a,4
s.126.ori.yellow,4
Staph.beads.486,4
Staph.beads.387,4
Staph.beads.575,5
Staph.beads.581,5
Staph.beads.537,5
Staph.beads.400,6
marc.bacteremia.42.a,6
marc.bacteremia.2021.a,6
marc.bacteremia.2009.a,6
marc.bacteremia.2020.a,6
marc.bacteremia.2018.a,6
Staph.beads.924a,6
marc.bacteremia.1016.a,6
marc.bacteremia.1147.a,6
Staph.bead.109,6
Staph.bead.98,6
Staph.bead.107,6
marc.bacteremia.517.a,6
Staph.beads.885a,6
Staph.bead.77,6
Staph.bead.121,6
Staph.bead.118,6
marc.bacteremia.2134,6
Staph.bead.5,6
marc.bacteremia.581.a,6
Sta.aur.bead.34,6
Staph.beads.249,6
Staph.beads.338,6
marc.bacteremia.455.a,6
Staph.bead.56,6
Sta.aur.bead.33,6
Staph.bead.153,6
Sta.aur.bead.53,6
Staph.beads.540,6
Staph.beads.518,6
Staph.beads.425,6
marc.bacteremia.698.a,6
marc.bacteremia.580.a,6
marc.bacteremia.686.a,6
Staph.beads.347,6
Staph.beads.278,6
marc.bacteremia.570.a,6
Staph.bead.165,6
Staph.beads.436,6
Staph.bead.193,6
Staph.beads.441,6
Staph.beads.601,6
Staph.beads.582,6
Staph.beads.959a,6
Staph.beads.496,6
Staph.beads.487,6
Staph.beads.509,6
Staph.beads.511,6
Sta.aur.bead.9,6
Staph.beads.343,6
Staph.beads.342,6
Staph.beads.957a,6
Staph.beads.925a,6
Staph.beads.941a,6
Sta.aur.bead.61,6
Staph.beads.403,6
Staph.bead.209,6
Staph.beads.528,6
Staph.beads.534,6
Staph.beads.558,6
Staph.bead.173,6
Staph.bead.222,6
Staph.beads.691,6
Staph.bead.860a,6
Staph.beads.299,6
Staph.bead.139,6
marc.bacteremia.24.a,6
marc.bacteremia.25.a,6
marc.bacteremia.28.a,6
marc.bacteremia.21.a,6
Staph.beads.604,6
Staph.bead.70,6
Sta.aur.bead.41,6
Staph.beads.277,6
marc.bacteremia.785.a,6
Staph.beads.988a,6
Staph.beads.951a,6
Staph.beads.950a,6
Staph.beads.960a,6
Staph.beads.948a,6
Staph.beads.690,6
Staph.bead.762a,6
Staph.bead.816a,6
Staph.bead.761a,6
marc.bacteremia.446.a,6
marc.bacteremia.443.a,6
marc.bacteremia.458.a,6
marc.bacteremia.1752.a,6
Staph.beads.333,6
marc.bacteremia.1943.a,6
marc.bacteremia.1938.a,6
marc.bacteremia.1940.a,6
Staph.bead.828a,6
Staph.bead.859a,6
Staph.bead.854a,6
marc.bacteremia.789.a,6
marc.bacteremia.796.a,6
Staph.beads.877a,6
Staph.beads.993a,6
Staph.beads.517,6
Staph.beads.995a,6
Staph.bead.85,6
Staph.beads.281,6
Sta.aur.bead.4,6
Staph.bead.205,6
marc.bacteremia.437.a,6
marc.bacteremia.2051.a,6
marc.bacteremia.1114.a,6
marc.bacteremia.1112.a,6
marc.bacteremia.1110.a,6
marc.bacteremia.925.a,6
marc.bacteremia.894.a,6
marc.bacteremia.913.a,6
Staph.beads.965a,6
Staph.beads.890a,6
Staph.beads.668,6
Staph.beads.920a,6
marc.bacteremia.2223,6
marc.bacteremia.2210,6
marc.bacteremia.2217,6
Staph.bead.203,6
Staph.bead.211,6
marc.bacteremia.1253.a,6
Staph.bead.823a,6
Staph.beads.982a,6
Staph.beads.963a,6
Staph.beads.964a,6
Staph.beads.954a,6
Path_Reg_41,6
marc.bacteremia.466.a,6
Staph.beads.921a,6
Staph.beads.649,6
Staph.beads.636,6
marc.bacteremia.2012.a,6
Staph.beads.286,7
Staph.beads.288,7
Staph.beads.564,7
Staph.beads.868a,8
marc.bacteremia.1281.a,8
marc.bacteremia.1279.a,8
marc.bacteremia.445.a,8
marc.bacteremia.457.a,8
marc.bacteremia.738.a,8
marc.bacteremia.728.a,8
marc.bacteremia.2140,8
marc.bacteremia.2151,8
Staph.beads.971a,8
Staph.beads.943a,8
Staph.beads.906a,8
Staph.beads.312,8
Sta.aur.bead.19,9
marc.bacteremia.4.a,9
Staph.beads.527,9
Staph.beads.538,9
